ticker,count,Company,from_date,to_date,stock
BAM,49,Brookfield Asset Management Inc. Common Stock,2012-11-09,2023-05-10,NYSE
STT,49,State Street Corporation Common Stock,2013-01-18,2023-04-17,NYSE
TTWO,49,"Take-Two Interactive Software, Inc. - Common Stock",2012-10-31,2023-05-17,NASDAQ
QRVO,48,"Qorvo, Inc. - Common Stock",2014-10-29,2023-06-01,NASDAQ
JAZZ,48,Jazz Pharmaceuticals plc - Ordinary Shares,2012-11-08,2023-05-10,NASDAQ
LNC,48,Lincoln National Corporation Common Stock,2012-11-02,2023-05-10,NYSE
DVN,48,Devon Energy Corporation Common Stock,2012-11-07,2023-05-09,NYSE
FSLR,48,"First Solar, Inc. - Common Stock",2012-11-02,2023-04-27,NASDAQ
BHC,48,BHC,2018-08-12,2023-05-04,NASDAQ
MFC,48,Manulife Financial Corporation Common Stock,2012-11-08,2023-05-11,NYSE
ERF,48,Enerplus Corporation Common Stock,2012-11-09,2023-05-05,NYSE
CNC,48,Centene Corporation Common Stock,2012-10-23,2023-04-25,NYSE
IDCC,48,"InterDigital, Inc. - Common Stock",2012-10-24,2023-05-04,NASDAQ
AMKR,48,"Amkor Technology, Inc. - Common Stock",2012-10-25,2023-05-01,NASDAQ
BEN,48,"Franklin Resources, Inc. Common Stock",2012-10-25,2023-05-01,NYSE
TFX,48,Teleflex Incorporated Common Stock,2012-10-31,2023-05-06,NYSE
FFIV,48,"F5, Inc. - Common Stock",2012-10-24,2023-04-19,NASDAQ
CRL,48,"Charles River Laboratories International, Inc. Common Stock",2012-10-31,2023-05-11,NYSE
CNSL,48,"Consolidated Communications Holdings, Inc. - Common Stock",2012-11-01,2023-05-02,NASDAQ
EPD,48,Enterprise Products Partners L.P. Common Stock,2012-11-01,2023-05-02,NYSE
MSI,48,"Motorola Solutions, Inc. Common Stock",2012-10-24,2023-05-04,NYSE
AVGO,48,Broadcom Inc. - Common Stock,2012-11-29,2023-06-06,NASDAQ
SCI,48,Service Corporation International Common Stock,2012-10-25,2023-05-02,NYSE
QDEL,48,QuidelOrtho Corporation - Common Stock,2012-10-23,2023-05-03,NASDAQ
BCE,48,"BCE, Inc. Common Stock",2012-11-01,2023-05-04,NYSE
CF,48,"CF Industries Holdings, Inc. Common Stock",2012-11-06,2023-05-02,NYSE
GD,48,General Dynamics Corporation Common Stock,2012-10-24,2023-05-31,NYSE
BRKR,48,Bruker Corporation - Common Stock,2012-11-05,2023-05-06,NASDAQ
STM,48,STMicroelectronics N.V. Common Stock,2012-10-24,2023-04-27,NYSE
AKAM,48,"Akamai Technologies, Inc. - Common Stock",2012-10-24,2023-05-09,NASDAQ
SU,48,Suncor Energy  Inc. Common Stock,2012-11-01,2023-05-09,NYSE
BCS,48,Barclays PLC Common Stock,2012-10-31,2023-04-27,NYSE
MRO,48,Marathon Oil Corporation Common Stock,2012-11-06,2023-05-04,NYSE
WST,48,"West Pharmaceutical Services, Inc. Common Stock",2013-02-21,2023-04-27,NYSE
SYNA,48,Synaptics Incorporated - Common Stock,2012-10-25,2023-05-03,NASDAQ
TWO,48,Two Harbors Investment Corp,2012-11-07,2023-05-02,NYSE
SYY,48,Sysco Corporation Common Stock,2012-11-05,2023-05-02,NYSE
MTH,48,Meritage Homes Corporation Common Stock,2012-10-25,2023-04-27,NYSE
TDS,48,"Telephone and Data Systems, Inc. Common Shares",2012-12-03,2023-05-06,NYSE
CNMD,48,CNMD,2013-02-14,2023-04-26,NASDAQ
RF,48,Regions Financial Corporation Common Stock,2012-10-23,2023-04-21,NYSE
RGLD,48,"Royal Gold, Inc. - Common Stock",2012-11-01,2023-05-04,NASDAQ
ZUMZ,48,Zumiez Inc. - Common Stock,2012-11-30,2023-06-01,NASDAQ
DPZ,48,Domino's Pizza Inc Common Stock,2013-01-18,2023-04-27,NYSE
RCI,47,"Rogers Communication, Inc. Common Stock",2012-10-24,2023-04-26,NYSE
MMS,47,"Maximus, Inc. Common Stock",2013-02-07,2023-05-06,NYSE
NDAQ,47,"Nasdaq, Inc. - Common Stock",2012-10-24,2023-04-19,NASDAQ
FUN,47,"Cedar Fair, L.P. Common Stock",2012-11-06,2023-05-04,NYSE
PDCE,47,"PDC Energy, Inc. - Common Stock",2012-11-01,2023-05-04,NASDAQ
PERI,47,Perion Network Ltd - Ordinary Shares,2012-11-01,2023-05-03,NASDAQ
CNO,47,"CNO Financial Group, Inc. Common Stock",2012-10-30,2023-05-02,NYSE
SBGI,47,"Sinclair, Inc. - Class A Common Stock",2013-02-06,2023-05-03,NASDAQ
BGCP,47,BGCP,2012-11-02,2023-05-03,
FR,47,"First Industrial Realty Trust, Inc. Common Stock",2012-10-25,2023-04-20,NYSE
P,47,"Pandora Media, Inc. Common Stock",2012-12-04,2018-07-31,NYSE
BMRN,47,BioMarin Pharmaceutical Inc. - Common Stock,2012-10-25,2023-04-26,NASDAQ
DKS,47,Dick's Sporting Goods Inc Common Stock,2012-11-13,2023-05-23,NYSE
BCRX,47,"BioCryst Pharmaceuticals, Inc. - Common Stock",2012-11-08,2023-05-03,NASDAQ
ITW,47,Illinois Tool Works Inc. Common Stock,2012-10-23,2023-05-02,NYSE
ACOR,47,"Acorda Therapeutics, Inc. - Common Stock",2012-10-31,2023-05-11,NASDAQ
ORCL,47,Oracle Corporation Common Stock,2012-12-18,2023-03-09,NYSE
ROP,47,"Roper Technologies, Inc. - Common Stock",2012-10-25,2023-04-27,NYSE
APA,47,APA Corporation - Common Stock,2012-11-01,2023-05-04,NYSE
LSTR,47,"Landstar System, Inc. - Common Stock",2012-10-25,2023-04-27,NASDAQ
GPRO,47,"GoPro, Inc. - Class A Common Stock",2015-02-06,2023-05-09,NASDAQ
OIS,47,"Oil States International, Inc. Common Stock",2012-11-02,2023-04-28,NYSE
ENB,47,Enbridge Inc Common Stock,2012-11-07,2023-05-05,NYSE
SLM,47,SLM Corporation - Common Stock,2012-10-18,2023-04-27,NASDAQ
HUN,47,Huntsman Corporation Common Stock,2012-11-02,2023-05-05,NYSE
HES,47,Hess Corporation Common Stock,2012-11-02,2023-04-26,NYSE
PNC,47,"PNC Financial Services Group, Inc. (The) Common Stock",2013-01-17,2023-04-14,NYSE
SEE,47,Sealed Air Corporation Common Stock,2012-11-02,2023-05-02,NYSE
ZBRA,47,Zebra Technologies Corporation - Class A Common Stock,2012-11-06,2023-05-02,NASDAQ
CINF,47,Cincinnati Financial Corporation - Common Stock,2012-10-27,2023-04-28,NASDAQ
RRC,47,Range Resources Corporation Common Stock,2012-10-25,2023-04-25,NYSE
AGCO,47,AGCO Corporation Common Stock,2012-10-31,2023-05-02,NYSE
